NCM,uCOM,qCom,xProd
0701.90.00,KG,25,BATATA ASTERIX (KG)
0701.90.00,KG,50,BATATA ASTERIX (KG)
0701.90.00,KG,50,BATATA ESCOVADA FL (KG)
0701.90.00,KG,50,BATATA ASTERIX (KG)
0701.90.00,KG,10,BATATA BOLINHA 1- (KG)
0701.90.00,KG,10,BATATA ASTERIX (KG)
0702.00.00,KG,54,TOMATE (KG)
0703.10.19,KG,40,CEBOLA BRANCA CX 4 (KG)
0705.19.00,MC,60,ALFACE CRESPA (MC)
0701.90.00,KG,100,BATATA ESCOVADA FL (KG)
0702.00.00,KG,126,TOMATE (KG)
0703.10.19,KG,40,CEBOLA BRANCA CX 4 (KG)
0709.99.90,MC,1,SALSINHA INDUSTRIAL (MC)
0703.10.19,MC,3,CEBOLINHA (MC)
0705.19.00,MC,120,ALFACE CRESPA (MC)
0702.00.00,KG,72,TOMATE (KG)
0705.19.00,MC,80,ALFACE CRESPA (MC)
0703.10.19,KG,40,CEBOLA BRANCA CX 4 (KG)
0709.99.90,MC,2,SALSINHA INDUSTRIAL (MC)
0703.20.90,KG,1,ALHO DESCASCADO 1_ (KG)
0703.10.19,MC,3,CEBOLINHA (MC)
0701.90.00,KG,25,BATATA ESCOVADA FL (KG)
0701.90.00,KG,100,BATATA ASTERIX (KG)
0701.90.00,KG,5,BATATA ASTERIX (KG)
0701.90.00,KG,10,BATATA BOLINHA 1- (KG)
0701.90.00,KG,10,BATATA ASTERIX (KG)
0702.00.00,KG,108,TOMATE (KG)
0705.19.00,MC,80,ALFACE CRESPA (MC)
0703.10.19,KG,40,CEBOLA BRANCA CX 4 (KG)
0703.10.19,MC,2,CEBOLINHA (MC)
0701.90.00,KG,100,BATATA ASTERIX (KG)
0701.90.00,KG,25,BATATA ASTERIX (KG)
0701.90.00,KG,25,BATATA ESCOVADA FL (KG)
0703.10.19,KG,20,CEBOLA BRANCA CX 4 (KG)
0701.90.00,KG,50,BATATA ESCOVADA FL (KG)
0701.90.00,KG,25,BATATA ESCOVADA FL (KG)
0701.90.00,KG,25,BATATA ASTERIX (KG)
0701.90.00,KG,75,BATATA ASTERIX (KG)
0701.90.00,KG,75,BATATA ASTERIX (KG)
0701.90.00,KG,75,BATATA ESCOVADA FL (KG)
0702.00.00,KG,108,TOMATE (KG)
0705.19.00,MC,80,ALFACE CRESPA (MC)
0703.10.19,KG,20,CEBOLA BRANCA CX 4 (KG)
0709.99.90,MC,2,SALSINHA INDUSTRIAL (MC)
0703.10.19,MC,4,CEBOLINHA (MC)
0703.20.90,KG,1,ALHO DESCASCADO 1_ (KG)
0702.00.00,KG,54,TOMATE (KG)
0705.19.00,MC,80,ALFACE CRESPA (MC)
0709.99.90,MC,1,SALSINHA INDUSTRIAL (MC)
0703.10.19,MC,3,CEBOLINHA (MC)
0703.20.90,KG,1,ALHO DESCASCADO 1_ (KG)
0703.10.19,KG,80,CEBOLA BRANCA CX 4 (KG)
0703.20.90,KG,1,ALHO DESCASCADO 1_ (KG)
0703.10.19,KG,60,CEBOLA BRANCA CX 4 (KG)
0703.20.90,KG,1,ALHO DESCASCADO 1_ (KG)
0701.90.00,KG,100,BATATA ASTERIX (KG)
0701.90.00,KG,5,BATATA ASTERIX (KG)
0701.90.00,KG,10,BATATA BOLINHA 1- (KG)
0701.90.00,KG,10,BATATA ASTERIX (KG)
0701.90.00,KG,50,BATATA ASTERIX (KG)
0701.90.00,KG,150,BATATA ASTERIX (KG)
0701.90.00,KG,75,BATATA ASTERIX (KG)
0701.90.00,KG,25,BATATA ASTERIX (KG)
0701.90.00,KG,25,BATATA ESCOVADA FL (KG)
0702.00.00,KG,108,TOMATE (KG)
0705.19.00,MC,120,ALFACE CRESPA (MC)
0703.10.19,KG,20,CEBOLA BRANCA CX 4 (KG)
0709.99.90,MC,1,SALSINHA INDUSTRIAL (MC)
0703.10.19,MC,4,CEBOLINHA (MC)
0701.90.00,KG,3,BATATA LAVADA (KG)
0706.10.00,KG,2,CENOURA (KG)
0702.00.00,KG,72,TOMATE (KG)
0705.19.00,MC,80,ALFACE CRESPA (MC)
0701.90.00,KG,3,BATATA LAVADA (KG)
0706.10.00,KG,2,CENOURA (KG)
0702.00.00,KG,144,TOMATE (KG)
0705.19.00,MC,140,ALFACE CRESPA (MC)
0703.10.19,KG,40,CEBOLA BRANCA CX 4 (KG)
0709.99.90,MC,1,SALSINHA INDUSTRIAL (MC)
0703.10.19,MC,4,CEBOLINHA (MC)
0703.20.90,KG,1,ALHO DESCASCADO 1_ (KG)
0701.90.00,KG,3,BATATA LAVADA (KG)
0706.10.00,KG,2,CENOURA (KG)
0701.90.00,KG,25,BATATA ESCOVADA FL (KG)
0701.90.00,KG,525,BATATA ASTERIX (KG)
